Journal of Biogeography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPPORTING INFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biogeography of western Mediterranean butterflies: combining turnover and nestedness components of faunal dissimilarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leonardo Dapporto, Simone Fattorini, Raluca Voda, Vlad Dinca and Roger Vila",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appendix S1 Presence data for butterflies in the western Mediterranean.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Because butterflies are typically good dispersers, island faunas are characterized by relatively high turnover rates. Thus faunal relationships should be investigated ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"using data that are as synchronous as possible. For this reason, we used only published collection data or data obtained directly during fieldwork by the authors after 1980. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The distinction between data collected before and after 1980 occurs in the recent 'Distribution atlas of butterflies in Europe' by Kudrna et al. (2011), ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
from which most of the non-original data have been obtained. Nomenclature follows Kudrna et al. (2011) and the Fauna Europaea project (http://www.faunaeur.org/) updated with recent revisions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" (e.g. Talavera et al., 2013). Data for Maghreb mostly belong to Tennent (1996) and Tarrier & Delacre (2008).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num,Area,Tag,islmain,richness,latitude,longitude,Pyrgus_malvoides,Pyrgus_alveus,Pyrgus_bellieri,Pyrgus_armoricanus,Pyrgus_warrenensis,Pyrgus_serratulae,Pyrgus_carlinae,Pyrgus_cirsii,Pyrgus_onopordi,Pyrgus_sidae,Pyrgus_carthami,Pyrgus_andromedae,Pyrgus_cacaliae,Spialia_sertorius,Spialia_orbifer,Spialia_therapne,Muschampia_proto,Muschampia_mohammed,Muschampia_leuzeae,Carcharodus_alceae,Carcharodus_tripolinus,Carcharodus_lavatherae,Carcharodus_baeticus,Carcharodus_stauderi,Carcharodus_flocciferus,Erynnis_tages,Carterocephalus_palaemon,Heteropterus_morpheus,Thymelicus_acteon,Thymelicus_hamza,Thymelicus_lineola,Thymelicus_sylvestris,Hesperia_comma,Ochlodes_sylvanus,Gegenes_nostrodamus,Gegenes_pumilio,Borbo_borbonica,Papilio_machaon,Papilio_hospiton,Papilio_alexanor,Iphiclides_podalirius,Zerynthia_polyxena,Zerynthia_cassandra,Zerynthia_rumina,Parnassius_apollo,Parnassius_phoebus,Parnassius_mnemosyne,Aporia_crataegi,Pieris_brassicae,Pieris_rapae,Pieris_mannii,Pieris_ergane,Pieris_napi_,Pieris_bryoniae,Pontia_daplidice,Pontia_edusa,Pontia_glauconome,Pontia_callidice,Euchloe_ausonia,Euchloe_simplonia,Euchloe_crameri,Euchloe_insularis,Euchloe_tagis,Euchloe_belemia,Euchloe_charlonia,Euchloe_bazae,Anthocharis_cardamines,Anthocharis_damone,Anthocharis_euphenoides,Anthocharis_belia,Zegris_eupheme,Colotis_evagore,Colias_phicomone,Colias_palaeno,Colias_crocea,Colias_hyale,Colias_alfacariensis,Gonepteryx_cleopatra,Gonepteryx_rhamni,Leptidea_reali,Leptidea_sinapis,Leptidea_duponcheli,Cigaritis_allardi,Cigaritis_siphax,Cigaritis_zohra,Thecla_betulae,Neozephyrus_quercus,Laeosopis_roboris,Satyrium_acaciae,Satyrium_ilicis,Satyrium_esculi,Satyrium_spini,Satyrium_w-album,Satyrium_pruni,Tomares_ballus,Tomares_mauretanicus,Callophrys_rubi,Callophrys_avis,Lycaena_helle,Lycaena_phlaeas,Lycaena_dispar,Lycaena_virgaureae,Lycaena_tityrus,Lycaena_bleusei,Lycaena_alciphron,Lycaena_thersamon,Lycaena_hippothoe,Lampides_boeticus,Leptotes_pirithous,Tarucus_theophrastus,Azanus_jesous,Zizeeria_knysna,Zizeeria_karsandra,Cupido_alcetas,Cupido_argiades,Cupido_lorquinii,Cupido_minimus,Cupido_carswelli,Cupido_osiris,Celastrina_argiolus,Glaucopsyche_alexis,Glaucopsyche_melanops,Phengaris_alcon,Phengaris_arion,Phengaris_nausithous,Phengaris_telejus,Iolana_iolas,Scolitantides_orion,Pseudophilotes_panoptes,Pseudophilotes_baton,Pseudophilotes_barbagiae,Pseudophilotes_abencerragus,Pseudophilotes_fatma,Kretania_allardi,Kretania_hespericus,Kretania_trappi,Kretania_martini,Plebejus_argus,Plebejus_argyrognomon,Plebejus_bellieri,Plebejus_idas,Eumedonia_eumedon,Aricia_agestis,Aricia_cramera,Aricia_artaxerxes,Aricia_montensis,Aricia_morronensis,Aricia_nicias,Agriades_glandon,Agriades_zullichi,Agriades_optilete,Agriades_orbitulus,Agriades_pyrenaicus,Agriades_damon,Cyaniris_semiargus,Polyommatus_dolus,Polyommatus_fulgens,Polyommatus_escheri,Polyommatus_amandus,Polyommatus_thersites,Polyommatus_ripartii,Polyommatus_fabressei,Polyommatus_violetae,Polyommatus_dorylas,Polyommatus_golgus,Polyommatus_atlanticus,Polyommatus_nivescens,Polyommatus_celina,Polyommatus_icarus,Polyommatus_daphnis,Polyommatus_eros,Lysandra_albicans,Lysandra_hispana,Lysandra_coridon,Lysandra_bellargus,Lysandra_punctifera,Hamearis_lucina,Libythea_celtis,Danaus_chrysippus,Danaus_plexippus,Charaxes_jasius,Apatura_ilia,Apatura_iris,Limenitis_populi,Limenitis_reducta,Limenitis_camilla,Neptis_rivularis,Nymphalis_antiopa,Nymphalis_polychloros,Inachis_io,Aglais_urticae,Aglais_ichnusa,Vanessa_atalanta,Vanessa_cardui,Vanessa_virginiensis,Araschnia_levana,Polygonia_c-album,Polygonia_egea,Issoria_lathonia,Argynnis_pandora,Argynnis_paphia,Argynnis_elisa,Argynnis_aglaja,Argynnis_niobe,Argynnis_adippe,Argynnis_auresiana,Brenthis_daphne,Brenthis_hecate,Brenthis_ino,Boloria_napaea,Boloria_pales,Boloria_aquilonaris,Boloria_graeca,Boloria_titania,Boloria_eunomia,Boloria_euphrosyne,Boloria_selene,Boloria_dia,Boloria_thore,Melitaea_cinxia,Melitaea_phoebe,Melitaea_aetherie,Melitaea_diamina,Melitaea_deserticola,Melitaea_didyma,Melitaea_trivia,Melitaea_celadussa,Melitaea_varia,Melitaea_deione,Melitaea_parthenoides,Melitaea_aurelia,Melitaea_britomartis,Euphydryas_maturna,Euphydryas_cynthia,Euphydryas_desfontainii,Euphydryas_aurinia,Melanargia_galathea,Melanargia_lachesis,Melanargia_lucasi,Melanargia_russiae,Melanargia_occitanica,Melanargia_pherusa,Melanargia_arge,Melanargia_ines,Hipparchia_fagi,Hipparchia_hermione,Hipparchia_caroli,Hipparchia_ellena,Hipparchia_algirica,Hipparchia_aristaeus,Hipparchia_blachieri,Hipparchia_neapolitana,Hipparchia_leighebi,Hipparchia_sbordonii,Hipparchia_semele,Hipparchia_neomiris,Hipparchia_hansii,Hipparchia_powelli,Hipparchia_statilinus,Hipparchia_fidia,Chazara_briseis,Chazara_prieuri,Pseudochazara_atlantis,Pseudochazara_williamsi,Oeneis_glacialis,Satyrus_actaea,Satyrus_ferula,Minois_dryas,Brintesia_circe,Berberia_abdelkader,Berberia_lambessanus,Arethusana_arethusa,Erebia_ligea,Erebia_euryale,Erebia_aethiops,Erebia_manto,Erebia_flavofasciata,Erebia_epiphron,Erebia_melampus,Erebia_pharte,Erebia_sudetica,Erebia_triaria,Erebia_medusa,Erebia_alberganus,Erebia_pluto,Erebia_gorge,Erebia_aethiopella,Erebia_mnestra,Erebia_gorgone,Erebia_epistygne,Erebia_tyndarus,Erebia_cassioides,Erebia_hispania,Erebia_rondoui,Erebia_ottomana,Erebia_pronoe,Erebia_lefebvrei,Erebia_scipio,Erebia_styx,Erebia_montana,Erebia_zapateri,Erebia_neoridas,Erebia_oeme,Erebia_meolans,Erebia_pandrose,Erebia_sthennyo,Maniola_jurtina,Maniola_nurag,Hyponephele_lycaon,Hyponephele_maroccana,Hyponephele_lupina,Aphantopus_hyperantus,Pyronia_batsheba,Pyronia_cecilia,Pyronia_tithonus,Pyronia_janiroides,Coenonympha_rhodopensis,Coenonympha_pamphilus,Coenonympha_lyllus,Coenonympha_corinna,Coenonympha_dorus,Coenonympha_fettigii,Coenonympha_vaucheri,Coenonympha_arcania,Coenonympha_darwiniana,Coenonympha_gardetta,Coenonympha_arcanioides,Coenonympha_glycerion,Coenonympha_oedippus,Pararge_aegeria,Lasiommata_megera,Lasiommata_paramegaera,Lasiommata_petropolitana,Lasiommata_maera,Lopinga_achine
